,Fecha,Tweet_texto,Nombre_cuenta,Hora
28,2023-01-08 12:10:48,"@budino_antonio Las estupideces de la energía ""limpia y sostenible "" y que nadie,  (por que no les interesa), se ha preocupado de averiguar,  la cantidad de aves, que  asesinan éstos aerogeneradores....como se han apuntado al ""carro"" de las ganancias,  todo perfecto....tampoco nadie,  tiene el",jose_frco,12
29,2023-01-08 11:08:23,"@mnvadillo @EmilioGuinazu De manera objetiva, por cuestiones energéticas, económicas, ambientales, humanas  y tecnológicas sea por fisión o fusión, la energía nuclear representa el futuro global para garantizar el desarrollo sostenible.",mendocinoybasta,11
30,2023-01-08 10:53:38,"Para cumplir con los objetivos del Pacto Verde europeo, el despliegue de las #renovables debería ser el doble de rápido y el consumo de energía debería reducirse sustancialmente.
#CambioClimatico #greendeal
https://t.co/qGYFdrkweE",SosteniblesOrg,10
31,2023-01-08 10:14:09,"El 2023 empieza con deberes climáticos.

https://t.co/W6iwPkvZpe
#UAL 
#ecoUALizate 
#SostenibilidadAmbiental 
#desarrollosostenible https://t.co/M7hp0dG5Eq",ecoUALizate,10
32,2023-01-08 10:14:09,"El 2023 empieza con deberes climáticos.

https://t.co/W6iwPkvZpe
#UAL 
#ecoUALizate 
#SostenibilidadAmbiental 
#desarrollosostenible https://t.co/M7hp0dG5Eq",ecoUALizate,10
33,2023-01-08 06:11:18,Bicicletas de Ikea con energía solar: la nueva iniciativa sostenible - https://t.co/KFth0ZO9GK https://t.co/eQMETbDaPK,gizlogic,6
34,2023-01-08 03:15:32,#altadensidad 🔘 La vida sostenible sube de nivel en los nuevos electrodomésticos #CES2023 #Energía #Hogar #Lanzamiento Dale ♥️ abre el link Sigue leyendo... https://t.co/F9lVbJS2Jw Dale ♥️ abre el link,discoduro,3
35,2023-01-08 02:28:52,"Top story: Hidrógeno barato y sostenible mediante energía solar https://t.co/PtWCUhpGtW, see more https://t.co/GOYlxlUN8A",PatriciaIndias,2
36,2023-01-08 00:37:09,Alicante lidera con su Plan de Energía Sostenible el cambio del alumbrado por tecnología led y paneles solares - https://t.co/YhUICHskaI https://t.co/T4p6e6kN9O,Onda15Radio,0
37,2023-01-08 00:32:55,Alicante lidera con su Plan de Energía Sostenible el cambio del alumbrado por tecnología led y paneles solares https://t.co/ej9B4kGXy2,EsradioA,0
38,2023-01-08 00:03:16,".. el desarrollo sostenible de zonas de frontera.

🔸Revisar proyectos binacionales de Colombia-Venezuela en materia de proyectos de infraestructura para conectividad, energía y producción y procesamiento de alimentos..

🔸Se creará una comisión técnica..

#VenezuelaPróspera 
8/9 https://t.co/lUAA01xEuQ",JEy_Pz,0
39,2023-01-07 23:05:08,"Internet de la Energía, la tecnología para un mundo descarbonizado con un sistema energético sostenible y eficiente https://t.co/JI6eiBNnw3",Smart_Industry_,23
40,2023-01-07 22:19:13,"Un nuevo panel solar, desarrollado en la Universidad de Michigan, logra una eficiencia del 9% en la conversión de agua en hidrógeno y oxígeno, imitando un paso crucial en la fotosíntesis https://t.co/iTtpmRMqin",europapress,22
41,2023-01-07 22:19:13,"Un nuevo panel solar, desarrollado en la Universidad de Michigan, logra una eficiencia del 9% en la conversión de agua en hidrógeno y oxígeno, imitando un paso crucial en la fotosíntesis https://t.co/iTtpmRMqin",europapress,22
42,2023-01-07 21:11:33,"Con servicios como #SmartThings Energy estableciendo nuevos estándares para la eficiencia del hogar, los últimos electrodomésticos #Bespoke de #Samsung permiten que los usuarios ahorren energía y dinero. @SamsungLatin #SamsungGuatemala

https://t.co/xmMHZVmOz3",estoesnoticioso,21
43,2023-01-07 19:35:04,La energía sostenible es lo que necesitamos! https://t.co/PaGcDxGRgq,paolaADiaz,19
44,2023-01-07 19:06:01,Hidrógeno barato y sostenible mediante energía solar https://t.co/wUyj8iyUqa https://t.co/fHttR87W63,cienciaplus,19
